# Datafile created by QuickNXS 2.1.0
# Datafile created using Mantid 4.2.0
# Date: 2023-02-22 17:19:03
# Type: Specular
# Input file indices: 41925,41926,41927,41928,41929
# Extracted states: Off-Off
#
# [Direct Beam Runs]
#    DB_ID        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width      dpix       tth    number      File
#        1         0         0     220.1        11     125.5       110        30        20       219         0     41916  /SNS/REF_M/IPTS-31275/nexus/REF_M_41916.nxs.h5
#        2         0         0     220.1        11     125.5       110        30        20       219         0     41917  /SNS/REF_M/IPTS-31275/nexus/REF_M_41917.nxs.h5
#        3         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        4         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        5         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#
# [Data Runs]
#    scale        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width       fan      dpix       tth    number     DB_ID      File
#   2.2387         3         1       179         8     128.5        85        30        20     False       219  -0.000933812     41925         1  /SNS/REF_M/IPTS-31275/nexus/REF_M_41925.nxs.h5
# 0.698863         2         3     178.8         9     128.5        85       230        20     False       219  -0.000933812     41926         2  /SNS/REF_M/IPTS-31275/nexus/REF_M_41926.nxs.h5
# 0.319154         2         3     180.6         8     128.5        85        30        20     False       219  0.533903     41927         3  /SNS/REF_M/IPTS-31275/nexus/REF_M_41927.nxs.h5
# 0.194984         2         2     180.5         9     126.5        85        30        20     False       219   1.46562     41928         4  /SNS/REF_M/IPTS-31275/nexus/REF_M_41928.nxs.h5
# 0.194984         2         1     180.6        10     125.5        85       240         6     False       219   3.10325     41929         5  /SNS/REF_M/IPTS-31275/nexus/REF_M_41929.nxs.h5
#
# [Global Options]
# name           value
# sample_length  10.0
#
# [Data]
#     Qz [1/A]	    R [a.u.]	   dR [a.u.]	   dQz [1/A]	 theta [rad]
7.464754e-02      	2.968779e-05      	3.242156e-06      	2.545533e-03      	1.865628e-02      
7.648258e-02      	2.695447e-05      	3.125498e-06      	2.610719e-03      	1.865628e-02      
7.825968e-02      	2.421330e-05      	2.512140e-06      	2.645691e-03      	3.293209e-02      
7.841012e-02      	2.562932e-05      	2.883545e-06      	2.679393e-03      	1.865628e-02      
8.043732e-02      	2.553355e-05      	2.947054e-06      	2.751847e-03      	1.865628e-02      
8.060747e-02      	2.211661e-05      	2.230746e-06      	2.727888e-03      	3.293209e-02      
8.257213e-02      	2.183228e-05      	2.911245e-06      	2.828405e-03      	1.865628e-02      
8.302570e-02      	2.096426e-05      	2.139040e-06      	2.812809e-03      	3.293209e-02      
8.482334e-02      	1.779267e-05      	2.696767e-06      	2.909434e-03      	1.865628e-02      
8.551647e-02      	2.138831e-05      	1.973462e-06      	2.900559e-03      	3.293209e-02      
8.720075e-02      	1.908956e-05      	4.810434e-06      	2.995341e-03      	1.865628e-02      
8.808196e-02      	2.017992e-05      	1.897841e-06      	2.991250e-03      	3.293209e-02      
9.072442e-02      	1.452730e-05      	1.764635e-06      	3.084998e-03      	3.293209e-02      
9.344615e-02      	1.634687e-05      	1.686366e-06      	3.181924e-03      	3.293209e-02      
9.624954e-02      	1.816200e-05      	1.647474e-06      	3.282156e-03      	3.293209e-02      
9.913702e-02      	1.813502e-05      	1.588083e-06      	3.385831e-03      	3.293209e-02      
1.021111e-01      	1.688072e-05      	1.628326e-06      	3.493090e-03      	3.293209e-02      
1.051745e-01      	1.085085e-05      	1.439241e-06      	3.604083e-03      	3.293209e-02      
1.083297e-01      	1.109023e-05      	1.423736e-06      	3.718969e-03      	3.293209e-02      
1.115796e-01      	1.121235e-05      	1.358839e-06      	3.837915e-03      	3.293209e-02      
1.149270e-01      	9.622257e-06      	1.268465e-06      	3.961098e-03      	3.293209e-02      
1.183748e-01      	9.068769e-06      	1.255058e-06      	4.088703e-03      	3.293209e-02      
1.219260e-01      	1.017132e-05      	1.223129e-06      	4.220929e-03      	3.293209e-02      
1.255838e-01      	9.812759e-06      	1.194199e-06      	4.357985e-03      	3.293209e-02      
1.293513e-01      	9.666394e-06      	1.171654e-06      	4.500091e-03      	3.293209e-02      
1.332319e-01      	7.447759e-06      	1.090885e-06      	4.647482e-03      	3.293209e-02      
1.372288e-01      	7.575862e-06      	1.060798e-06      	4.800406e-03      	3.293209e-02      
1.413457e-01      	8.369881e-06      	1.046433e-06      	4.959127e-03      	3.293209e-02      
1.455861e-01      	6.038070e-06      	1.002107e-06      	5.123925e-03      	3.293209e-02      
1.499536e-01      	5.114458e-06      	1.064161e-06      	5.295096e-03      	3.293209e-02      
1.544523e-01      	6.692667e-06      	2.372991e-06      	5.472957e-03      	3.293209e-02      
1.590858e-01      	-2.019604e-06     	5.671876e-06      	5.657841e-03      	3.293209e-02      
